MBP functional - IC50 (kcal/mol),MEK1 functional - IC50 (kcal/mol)
-9.9,-10.1
-9.75,-10.07
-9.61,-10.07
-9.6,-9.76
-9.72,-9.52
-9.29,-9.46
-8.92,-9.51
-9.02,-9.24
-9.02,-9.05
-9.02,-8.94
-9.19,-8.79
-8.75,-9.05
-8.71,-8.92
-8.84,-8.77
-8.56,-8.77
-8.47,-9.0
-8.43,-8.96
-8.65,-8.6
-8.32,-8.6
-8.1,-8.9
-8.0,-8.56
-8.15,-8.48
-8.29,-8.51
-8.65,-8.35
-8.26,-8.32
-8.02,-8.27
-7.76,-8.23
-7.87,-8.17
-7.9,-8.14
-8.16,-8.07
-8.2,-8.01
-8.24,-7.57
-7.78,-7.52
-7.41,-7.9
-6.98,-7.89
-7.36,-7.44
-7.42,-7.42
-7.59,-7.36
-7.33,-7.29
-7.29,-7.16
-6.96,-7.12
-7.13,-6.89
-7.15,-6.76
-6.98,-6.63
-6.54,-6.53
-6.17,-6.9
-6.03,-6.68
-5.9,-6.51
-6.27,-6.25
-6.48,-6.26
-6.8,-6.12
-6.17,-6.04
-5.9,-6.11
